Unnamed: 0,始値,高値,安値,終値
2015-12-30,1083,1135,1083,1130
2015-12-29,1057,1096,1055,1096
2015-12-28,1070,1082,1032,1070
2015-12-25,1051,1051,999,1010
2015-12-24,1170,1173,1067,1072
2015-12-22,1200,1203,1170,1172
2015-12-21,1210,1211,1198,1203
2015-12-18,1332,1340,1245,1245
2015-12-17,1250,1280,1240,1242
2015-12-16,1300,1300,1280,1280
2015-12-15,1321,1325,1300,1305
2015-12-14,1335,1336,1280,1320
2015-12-11,1353,1376,1345,1365
2015-12-10,1353,1364,1346,1364
2015-12-09,1370,1387,1367,1367
2015-12-08,1400,1400,1381,1383
2015-12-07,1445,1445,1400,1400
2015-12-04,1401,1405,1382,1385
2015-12-03,1408,1430,1400,1401
2015-12-02,1400,1410,1389,1400
2015-12-01,1399,1401,1385,1400
2015-11-30,1411,1411,1383,1393
2015-11-27,1443,1451,1415,1421
2015-11-26,1433,1470,1432,1467
2015-11-25,1436,1454,1431,1449
2015-11-24,1435,1480,1435,1455
2015-11-20,1375,1424,1370,1408
2015-11-19,1331,1360,1331,1360
2015-11-18,1335,1344,1333,1334
2015-11-17,1352,1352,1326,1330
2015-11-16,1339,1359,1322,1328
2015-11-13,1452,1452,1393,1410
2015-11-12,1454,1469,1450,1452
2015-11-11,1475,1491,1450,1470
2015-11-10,1485,1492,1460,1475
2015-11-09,1500,1517,1480,1501
2015-11-06,1470,1500,1470,1493
2015-11-05,1509,1539,1470,1481
2015-11-04,1490,1546,1452,1480
2015-11-02,1444,1491,1401,1460
2015-10-30,1590,1590,1590,1590
2015-10-29,2045,2080,1986,1990
2015-10-28,1881,1996,1881,1988
2015-10-27,1851,1945,1851,1909
2015-10-26,1915,1933,1883,1887
2015-10-23,1913,1913,1855,1870
2015-10-22,1809,1920,1809,1881
2015-10-21,1780,1809,1760,1809
2015-10-20,1819,1820,1770,1789
2015-10-19,1899,1899,1818,1827
2015-10-16,1959,1959,1790,1900
2015-10-15,2010,2010,1926,1940
2015-10-14,1966,2069,1926,2011
2015-10-13,1929,1951,1880,1926
2015-10-09,1911,1942,1860,1896
2015-10-08,1885,1945,1807,1807
2015-10-07,1633,1829,1633,1765
2015-10-06,1617,1649,1617,1633
2015-10-05,1585,1615,1580,1613
2015-10-02,1580,1584,1539,1557
2015-10-01,1550,1588,1550,1584
2015-09-30,1526,1569,1526,1527
2015-09-29,1638,1638,1505,1507
2015-09-28,1587,1639,1585,1639
2015-09-25,1570,1607,1567,1587
2015-09-24,1641,1647,1583,1592
2015-09-18,1668,1669,1629,1657
2015-09-17,1684,1684,1636,1642
2015-09-16,1650,1690,1620,1625
2015-09-15,1651,1688,1600,1600
2015-09-14,1751,1797,1680,1682
2015-09-11,1676,1779,1676,1745
2015-09-10,1660,1696,1633,1680
2015-09-09,1674,1690,1633,1670
2015-09-08,1646,1801,1555,1575
2015-09-07,1530,1628,1507,1628
2015-09-04,1641,1643,1520,1570
2015-09-03,1765,1782,1660,1663
2015-09-02,1650,1790,1650,1751
2015-09-01,1868,1868,1750,1750
2015-08-31,1950,1951,1868,1874
2015-08-28,1918,2043,1915,1917
2015-08-27,1750,2100,1690,1975
2015-08-26,1710,1750,1566,1750
2015-08-25,1500,1650,1405,1450
2015-08-24,1949,1999,1589,1600
2015-08-21,2131,2200,2089,2089
2015-08-20,2254,2265,2231,2231
2015-08-19,2301,2309,2261,2266
2015-08-18,2270,2328,2270,2320
2015-08-17,2283,2344,2269,2305
2015-08-14,2370,2370,2280,2300
2015-08-13,2418,2435,2355,2360
2015-08-12,2501,2501,2418,2468
2015-08-11,2533,2533,2500,2501
2015-08-10,2556,2564,2502,2505
2015-08-07,2500,2600,2500,2506
2015-08-06,2348,2840,2347,2500
2015-08-05,2323,2360,2323,2347
2015-08-04,2450,2460,2370,2373
2015-08-03,2510,2511,2442,2442
2015-07-31,2555,2560,2521,2523
2015-07-30,2608,2611,2550,2570
2015-07-29,2680,2685,2632,2632
2015-07-28,2681,2681,2640,2680
2015-07-27,2727,2731,2681,2691
2015-07-24,2700,2734,2695,2700
2015-07-23,2815,2815,2704,2712
2015-07-22,2752,2782,2730,2765
2015-07-21,2764,2824,2738,2752
2015-07-17,2720,2761,2711,2760
2015-07-16,2621,2769,2615,2750
2015-07-15,2849,2860,2811,2821
2015-07-14,2789,2870,2789,2805
2015-07-13,2825,2825,2757,2761
2015-07-10,2852,2938,2821,2823
2015-07-09,2821,2869,2710,2851
2015-07-08,2970,3025,2910,2912
2015-07-07,2960,2989,2931,2968
2015-07-06,2931,2974,2925,2933
2015-07-03,3015,3030,2974,2990
2015-07-02,3085,3090,3045,3050
2015-07-01,3005,3070,3005,3070
2015-06-30,2951,2996,2950,2994
2015-06-29,3035,3035,2949,2950
2015-06-26,3245,3250,3080,3150
2015-06-25,3345,3350,3210,3245
2015-06-24,3250,3445,3250,3415
2015-06-23,3240,3285,3180,3190
2015-06-22,3160,3210,3130,3200
2015-06-19,3150,3215,3120,3170
2015-06-18,3170,3200,3120,3150
2015-06-17,3115,3170,3100,3170
2015-06-16,3130,3145,3090,3100
2015-06-15,3190,3210,3145,3150
2015-06-12,3190,3230,3165,3190
2015-06-11,3250,3305,3190,3210
2015-06-10,3165,3275,3130,3265
2015-06-09,3490,3490,3160,3165
2015-06-08,3295,3700,3270,3500
2015-06-05,3235,3235,3170,3225
2015-06-04,3210,3260,3200,3235
2015-06-03,3280,3280,3215,3235
2015-06-02,3105,3280,3105,3280
2015-06-01,3100,3135,3070,3105
2015-05-29,3180,3180,3125,3125
2015-05-28,3210,3210,3160,3180
2015-05-27,3210,3220,3180,3220
2015-05-26,3260,3270,3205,3210
2015-05-25,3320,3325,3255,3260
2015-05-22,3260,3300,3255,3280
2015-05-21,3305,3305,3265,3280
2015-05-20,3295,3320,3275,3280
2015-05-19,3290,3540,3240,3290
2015-05-18,3290,3330,3270,3315
2015-05-15,3325,3350,3260,3270
2015-05-14,3350,3450,3320,3350
2015-05-13,3290,3350,3280,3280
2015-05-12,3325,3340,3255,3280
2015-05-11,3380,3405,3335,3335
2015-05-08,3400,3465,3305,3340
2015-05-07,3390,3455,3365,3385
2015-05-01,3695,3695,3385,3460
